#Fajok
Id,Név
R001,ember
R002,törp
R003,elf
R004,félork

#Osztályok
Id,Név,XP módosító
C001,harcos,1
C002,barbár,0.95
C003,lovag,1.05
C004,tolvaj,0.85
C005,pap,1
C006,mágus,1.1

#Karakternevek
Id,Név,OsztályId
NAME-C001-01,Aldric,C001
NAME-C001-02,Borin,C001
NAME-C001-03,Cedrik,C001
NAME-C001-04,Doran,C001
NAME-C001-05,Eryk,C001
NAME-C001-06,Falk,C001
NAME-C001-07,Garen,C001
NAME-C001-08,Hadur,C001
NAME-C001-09,Ivor,C001
NAME-C001-10,Csonttörő,C001
NAME-C001-11,Bran,C001
NAME-C001-12,Hordóhas,C001
NAME-C001-13,Sigurd,C001
NAME-C001-14,Orven,C001
NAME-C001-15,Roderik,C001
NAME-C001-16,Sigor,C001
NAME-C001-17,Félszemű Grok,C001
NAME-C001-18,Ulrik,C001
NAME-C001-19,Viktor,C001
NAME-C001-20,Zord Valeric,C001
NAME-C002-01,Arak,C002
NAME-C002-02,Balgor,C002
NAME-C002-03,Crag,C002
NAME-C002-04,Draven,C002
NAME-C002-05,Einar,C002
NAME-C002-06,Fenrir,C002
NAME-C002-07,Grom,C002
NAME-C002-08,Hroth,C002
NAME-C002-09,Kargan,C002
NAME-C002-10,Logen,C002
NAME-C002-11,Mork,C002
NAME-C002-12,Nergal,C002
NAME-C002-13,Ormog,C002
NAME-C002-14,Ragnar,C002
NAME-C002-15,Skarn,C002
NAME-C002-16,Thorg,C002
NAME-C002-17,Ulfar,C002
NAME-C002-18,Varg,C002
NAME-C002-19,Wotan,C002
NAME-C002-20,Yngvar,C002
NAME-C003-01,Sir Arthur,C003
NAME-C003-02,Sir Balduin,C003
NAME-C003-03,Sir Conrad,C003
NAME-C003-04,Sir Rodrix,C003
NAME-C003-05,Sir Emeric,C003
NAME-C003-06,Sir Fülöp,C003
NAME-C003-07,Sir Godrik,C003
NAME-C003-08,Sir Henrik,C003
NAME-C003-09,Sir Imre,C003
NAME-C003-10,Sir János,C003
NAME-C003-11,Sir Kelemen,C003
NAME-C003-12,Sir Lancelor,C003
NAME-C003-13,Sir Miklós,C003
NAME-C003-14,Sir Norbert,C003
NAME-C003-15,Sir Oszkár,C003
NAME-C003-16,Sir Percival,C003
NAME-C003-17,Sir Roland,C003
NAME-C003-18,Sir Sebestyén,C003
NAME-C003-19,Sir Tristan,C003
NAME-C003-20,Sir Vilmos,C003
NAME-C004-01,Árnyék,C004
NAME-C004-02,Bicska,C004
NAME-C004-03,Cinkos,C004
NAME-C004-04,Daren,C004
NAME-C004-05,Enzo,C004
NAME-C004-06,Fürge,C004
NAME-C004-07,Gubanc,C004
NAME-C004-08,Holló,C004
NAME-C004-09,Iskra,C004
NAME-C004-10,Jinx,C004
NAME-C004-11,Karmos,C004
NAME-C004-12,Lopak,C004
NAME-C004-13,Mester,C004
NAME-C004-14,Nesztor,C004
NAME-C004-15,Osonó,C004
NAME-C004-16,Penge,C004
NAME-C004-17,Ravasz,C004
NAME-C004-18,Surranó,C004
NAME-C004-19,Villám,C004
NAME-C004-20,Zsebes,C004
NAME-C005-01,Ábel,C005
NAME-C005-02,Benedek,C005
NAME-C005-03,Celes,C005
NAME-C005-04,Dávid,C005
NAME-C005-05,Eliás,C005
NAME-C005-06,Ferenc,C005
NAME-C005-07,Gábor,C005
NAME-C005-08,Hilár,C005
NAME-C005-09,Illés,C005
NAME-C005-10,József,C005
NAME-C005-11,Kadosa,C005
NAME-C005-12,Lukács,C005
NAME-C005-13,Máté,C005
NAME-C005-14,Noé,C005
NAME-C005-15,Olivér,C005
NAME-C005-16,Pál,C005
NAME-C005-17,Rafael,C005
NAME-C005-18,Simon,C005
NAME-C005-19,Tamás,C005
NAME-C005-20,Zakariás,C005
NAME-C006-01,Alatar,C006
NAME-C006-02,Balthor,C006
NAME-C006-03,Cirion,C006
NAME-C006-04,Darius,C006
NAME-C006-05,Elminster,C006
NAME-C006-06,Faelar,C006
NAME-C006-07,Gandren,C006
NAME-C006-08,Hekate,C006
NAME-C006-09,Idris,C006
NAME-C006-10,Jorvan,C006
NAME-C006-11,Kael,C006
NAME-C006-12,Lorcan,C006
NAME-C006-13,Merlin,C006
NAME-C006-14,Nymor,C006
NAME-C006-15,Orin,C006
NAME-C006-16,Prospero,C006
NAME-C006-17,Quorin,C006
NAME-C006-18,Radagast,C006
NAME-C006-19,Szibilla,C006
NAME-C006-20,Theron,C006

#Szintlépések
Szint,XP értél
1,	0
2,	1000
3,	2500
4,	5000
5,	9000
6,	15000
7,	23000
8,	34000
9,	48000
10,	66000
11,	88000
12,	115000
13,	147000
14,	185000
15,	230000
16,	283000
17,	345000
18,	417000
19,	500000
